id,name,type,rarity,canStackable,allowRarityVariation,maxRaritySteps,value,description,iconPath,iconName
110306,钻石靴,靴子,史诗,FALSE,TRUE,2,8000,,Assets/Graphis/Object/Icons/zz.png,zz_2162
110403,铜手套,手套,普通,FALSE,TRUE,2,100,,Assets/Graphis/Object/Icons/zz.png,zz_2168
110404,铁手套,手套,精良,FALSE,TRUE,2,300,,Assets/Graphis/Object/Icons/zz.png,zz_2169
110405,金手套,手套,稀有,FALSE,TRUE,2,1500,,Assets/Graphis/Object/Icons/zz.png,zz_2170
110406,钻石手套,手套,史诗,FALSE,TRUE,2,8000,,Assets/Graphis/Object/Icons/zz.png,zz_2171
110506,铜项链,饰品,普通,FALSE,TRUE,2,100,,,
110507,铜手镯,饰品,普通,FALSE,TRUE,2,100,,,
110508,铜戒指,饰品,普通,FALSE,TRUE,2,100,,,
110509,铁项链,饰品,精良,FALSE,TRUE,2,500,,Assets/Graphis/Object/Icons/zz.png,zz_1850
110510,铁手镯,饰品,精良,FALSE,TRUE,2,500,,,
110511,铁戒指,饰品,精良,FALSE,TRUE,2,500,,Assets/Graphis/Object/Icons/zz.png,zz_1842
110512,金项链,饰品,稀有,FALSE,TRUE,2,2500,,Assets/Graphis/Object/Icons/sh.png,sh_870
110513,金手镯,饰品,稀有,FALSE,TRUE,2,2500,,Assets/Graphis/Object/Icons/sh.png,sh_891
110514,金戒指,饰品,稀有,FALSE,TRUE,2,2500,,Assets/Graphis/Object/Icons/sh.png,sh_872
110515,钻石项链,饰品,史诗,FALSE,TRUE,2,15000,,Assets/Graphis/Object/Icons/zz.png,zz_2176
110516,钻石手镯,饰品,史诗,FALSE,TRUE,2,15000,,Assets/Graphis/Object/Icons/zz.png,zz_2191
110517,钻石戒指,饰品,史诗,FALSE,TRUE,2,15000,,Assets/Graphis/Object/Icons/zz.png,zz_2181
120005,大血瓶,消耗品,普通,TRUE,TRUE,1,100,,,
120006,力量药剂,消耗品,普通,TRUE,TRUE,1,150,,,
120007,铁皮药剂,消耗品,普通,TRUE,TRUE,1,150,,,
120008,疾风药剂,消耗品,普通,TRUE,TRUE,1,150,,,
120009,狂暴药剂,消耗品,普通,TRUE,TRUE,1,150,,,
120010,大恢复药,消耗品,普通,TRUE,TRUE,1,200,,,
130004,铜,材料,普通,TRUE,TRUE,1,15,,Assets/Graphis/Object/Icons/sh.png,sh_563
130005,铁,材料,普通,TRUE,TRUE,1,15,,Assets/Graphis/Object/Icons/sh.png,sh_565
130006,金,材料,精良,TRUE,TRUE,1,50,,Assets/Graphis/Object/Icons/sh.png,sh_566
130007,钻石,材料,稀有,TRUE,TRUE,1,200,,Assets/Graphis/Object/Icons/sh.png,sh_550
