affixId,displayName,tier,pool,weight,stat1,stat1_min,stat1_max,stat1_pct,stat2,stat2_min,stat2_max,stat2_pct,stat3,stat3_min,stat3_max,stat3_pct,stat4,stat4_min,stat4_max,stat4_pct
prefix_sturdy_am,坚毅,普通,防具,5,护甲,1,2,false,,,,,,,,,,,,
prefix_vital_am,生命,普通,防具,5,最大生命值,4,6,false,,,,,,,,,,,,
prefix_evasive_am,闪避,普通,防具,5,闪避,1,2,false,,,,,,,,,,,,
prefix_ironhide_am,铁壁,普通,防具,4,护甲,4,6,true,闪避,-2,-1,false,,,,,,,,
prefix_brittle_am,脆弱,普通,防具,2,护甲,-4,-2,true,,,,,,,,,,,,
prefix_robust_am,健壮,优秀,防具,5,最大生命值,8,12,false,,,,,,,,,,,,
prefix_steady_am,稳固,优秀,防具,5,护甲,3,6,true,,,,,,,,,,,,
prefix_giant_am,巨人,优秀,防具,4,最大生命值,4,8,true,闪避,-3,-2,false,,,,,,,,
prefix_bulwark_am,壁垒,优秀,防具,4,护甲,3,6,true,闪避,-3,-2,false,,,,,,,,
prefix_beast_am,巨兽,稀有,防具,4,护甲,6,10,true,闪避,-4,-3,false,,,,,,,,
prefix_bloody_am,血性,稀有,防具,4,最大生命值,8,12,true,闪避,-4,-3,false,,,,,,,,
prefix_unyielding_am,不灭,稀有,防具,5,最大生命值,8,12,true,,,,,,,,,,,,
prefix_eternal_am,永生,稀有,防具,5,护甲,6,10,true,,,,,,,,,,,,
prefix_immortal_am,不朽,史诗,防具,5,最大生命值,12,18,true,,,,,,,,,,,,
prefix_hallowed_am,圣佑,史诗,防具,5,火焰抗性,5,8,false,冰霜抗性,5,8,false,闪电抗性,5,8,false,,,,
prefix_colossus_am,巨灵,传说,防具,4,最大生命值,12,18,true,护甲,-15,-8,true,,,,,,,,
prefix_divinebody_am,神躯,传说,防具,5,最大生命值,18,28,true,元素之心,1,2,false,,,,,,,,
prefix_titan_am,泰坦,传说,防具,4,护甲,16,25,true,最大生命值,-20,-10,true,,,,,,,,
prefix_chaos_am,混沌,传说,防具,4,火焰抗性,8,12,false,冰霜抗性,8,12,false,闪电抗性,8,12,false,最大生命值,-15,-8,true
prefix_strong_ac,强壮,普通,饰品,5,力量,3,5,false,,,,,,,,,,,,
prefix_agile_ac,敏捷,普通,饰品,5,敏捷,3,5,false,,,,,,,,,,,,
prefix_wise_ac,睿智,普通,饰品,5,智力,3,5,false,,,,,,,,,,,,
prefix_tradeoff_ac,权衡,普通,饰品,4,力量,3,5,false,护甲,-2,-1,true,,,,,,,,
prefix_wan_ac,羸弱,普通,饰品,2,攻击速度,-6,-3,TRUE,,0,0,,,,,,,,,
prefix_mighty_ac,巨力,优秀,饰品,5,力量,6,10,false,,,,,,,,,,,,
prefix_brilliant_ac,聪慧,优秀,饰品,5,智力,6,10,false,,,,,,,,,,,,
prefix_vitaldual_ac,坚韧,优秀,饰品,4,活力,6,10,false,闪避,-3,-2,false,,,,,,,,
prefix_agiledual_ac,灵动,优秀,饰品,4,敏捷,6,10,false,护甲,-4,-2,true,,,,,,,,
prefix_fate_ac,命运,稀有,饰品,4,暴击率,3,5,FALSE,物理伤害,-6,-3,TRUE,,,,,,,,
prefix_intdual_ac,天资,稀有,饰品,4,智力,10,15,false,闪避,-4,-3,false,,,,,,,,
prefix_havoc_ac,浩劫,稀有,饰品,5,物理伤害,8,11,true,火焰伤害,8,11,true,冰霜伤害,8,11,true,闪电伤害,8,11,true
prefix_blessing_ac,神恩,稀有,饰品,5,最大生命值,8,12,true,,,,,,,,,,,,
prefix_annihilate_ac,湮灭,史诗,饰品,5,物理伤害,11,15,true,火焰伤害,11,15,true,冰霜伤害,11,15,true,闪电伤害,11,15,true
prefix_forever_ac,永恒,史诗,饰品,5,最大生命值,12,18,true,,,,,,,,,,,,
prefix_revelation_ac,天启,传说,饰品,4,火焰伤害,12,18,true,冰霜伤害,12,18,true,闪电伤害,12,18,true,最大生命值,-15,-8,true
prefix_oracle_ac,神谕,传说,饰品,5,物理伤害,15,18,true,火焰伤害,15,18,true,冰霜伤害,15,18,true,闪电伤害,15,18,true
prefix_gambler_ac,赌神,传说,饰品,4,暴击率,7,10,false,最大生命值,-20,-10,true,,,,,,,,
prefix_worldend_ac,灭世,传说,饰品,4,火焰伤害,12,18,TRUE,攻击速度,-10,-6,TRUE,闪电伤害,12,18,true,护甲,-20,-10,true
suffix_blazing_wp,灼热,普通,武器,5,火焰伤害,2,3,false,,,,,,,,,,,,
suffix_rime_wp,霜寒,普通,武器,5,冰霜伤害,2,3,false,,,,,,,,,,,,
suffix_arc_wp,电弧,普通,武器,5,闪电伤害,2,3,false,,,,,,,,,,,,
suffix_reckless_wp,鲁莽,普通,武器,4,攻击速度,3,5,TRUE,物理伤害,-2,-1,TRUE,,,,,,,,
suffix_jagged_wp,开裂,普通,武器,2,攻击速度,-4,-2,true,,,,,,,,,,,,
suffix_accuracy_wp,精准,优秀,武器,5,暴击率,2,3,false,,,,,,,,,,,,
suffix_might_wp,强健,优秀,武器,5,物理伤害,4,6,false,,,,,,,,,,,,
suffix_surge_wp,狂涌,优秀,武器,4,物理伤害,8,12,TRUE,攻击速度,-4,-2,TRUE,,,,,,,,
suffix_cruel_wp,残暴,优秀,武器,4,暴击伤害,8,12,false,闪避,-3,-2,false,,,,,,,,
suffix_war_wp,狂战,稀有,武器,4,物理伤害,16,20,TRUE,闪电伤害,-14,-10,TRUE,,,,,,,,
suffix_overload_wp,超载,稀有,武器,4,攻击速度,10,14,TRUE,冰霜伤害,-14,-10,TRUE,,,,,,,,
suffix_ruin_wp,毁灭,稀有,武器,5,物理伤害,10,14,true,,,,,,,,,,,,
suffix_elemental_wp,元素爆发,稀有,武器,5,火焰伤害,10,14,true,冰霜伤害,10,14,true,闪电伤害,10,14,true,,,,
suffix_cataclysm_wp,终焉,史诗,武器,5,物理伤害,14,18,true,火焰伤害,14,18,true,冰霜伤害,14,18,true,闪电伤害,14,18,true
suffix_god_wp,神启,史诗,武器,5,暴击伤害,20,30,false,,,,,,,,,,,,
suffix_bloodprice_wp,血祭,传说,武器,4,最大生命值,12,18,true,攻击速度,-10,-6,true,,,,,,,,
suffix_divine_wp,神圣,传说,武器,5,暴击伤害,30,40,false,,,,,,,,,,,,
suffix_annihilate_wp,湮灭,传说,武器,4,物理伤害,18,25,TRUE,攻击速度,-10,-6,TRUE,,,,,,,,
suffix_doom_wp,终末,传说,武器,4,火焰伤害,16,22,true,冰霜伤害,16,22,true,闪电伤害,16,22,true,最大生命值,-20,-10,true
suffix_fortitude_am,刚毅,普通,防具,5,护甲,1,2,false,,,,,,,,,,,,
suffix_vitality_am,生机,普通,防具,5,最大生命值,5,8,false,,,,,,,,,,,,
suffix_recovery_am,复原,普通,防具,5,生命值恢复,0.2,0.3,false,,,,,,,,,,,,
suffix_thorns_am,荆棘,普通,防具,4,生命值恢复,0.3,0.5,false,护甲,-2,-1,true,,,,,,,,
suffix_rusty_am,锈蚀,普通,防具,2,护甲,-4,-2,true,,,,,,,,,,,,
suffix_nimble_am,灵巧,优秀,防具,5,闪避,2,3,false,,,,,,,,,,,,
suffix_ironwall_am,铁壁,优秀,防具,5,护甲,3,6,true,,,,,,,,,,,,
suffix_tenacity_am,韧性,优秀,防具,4,闪避,2,4,false,护甲,-3,-1,true,,,,,,,,
suffix_bloodforge_am,血炼,优秀,防具,4,最大生命值,4,8,true,护甲,-3,-1,true,,,,,,,,
suffix_unyield_am,不屈,稀有,防具,4,护甲,6,10,true,闪避,-4,-3,false,,,,,,,,
suffix_bloodoath_am,血誓,稀有,防具,4,最大生命值,8,12,true,闪避,-4,-3,false,,,,,,,,
suffix_giant_am,巨人,稀有,防具,5,最大生命值,8,12,true,,,,,,,,,,,,
suffix_guardian_am,守护,稀有,防具,5,护甲,6,10,true,,,,,,,,,,,,
suffix_immortal_am,不朽,史诗,防具,5,最大生命值,12,18,true,,,,,,,,,,,,
suffix_holyguard_am,圣盾,史诗,防具,5,火焰抗性,5,8,false,冰霜抗性,5,8,false,闪电抗性,5,8,false,,,,
suffix_sacrifice_am,献祭,传说,防具,4,生命值恢复,1.5,2.5,false,护甲,-15,-8,true,,,,,,,,
suffix_eternal_am,永恒,传说,防具,5,最大生命值,18,28,true,,,,,,,,,,,,
suffix_devour_am,吞噬,传说,防具,4,护甲,16,25,true,最大生命值,-20,-10,true,,,,,,,,
suffix_offering_am,祭品,传说,防具,4,火焰抗性,8,12,false,冰霜抗性,8,12,false,闪电抗性,8,12,false,闪避,-10,-6,false
suffix_might_ac,强健,普通,饰品,5,活力,3,5,false,,,,,,,,,,,,
suffix_cunning_ac,狡黠,普通,饰品,5,敏捷,3,5,false,,,,,,,,,,,,
suffix_brilliance_ac,慧心,普通,饰品,5,智力,3,5,false,,,,,,,,,,,,
suffix_tradeoff_ac,权衡,普通,饰品,4,暴击率,1,2,false,闪避,-2,-1,false,,,,,,,,
suffix_haunted_ac,缠身,普通,饰品,2,最大生命值,-8,-5,true,,,,,,,,,,,,
suffix_endurance_ac,耐力,优秀,饰品,5,活力,6,10,false,,,,,,,,,,,,
suffix_strength_ac,巨力,优秀,饰品,5,力量,6,10,false,,,,,,,,,,,,
suffix_bloodtide_ac,血潮,优秀,饰品,4,生命值恢复,0.5,1,false,闪避,-3,-2,false,,,,,,,,
suffix_agiletide_ac,敏影,优秀,饰品,4,敏捷,6,10,false,护甲,-4,-2,true,,,,,,,,
suffix_fate_ac,命运,稀有,饰品,4,暴击伤害,12,20,FALSE,物理伤害,-6,-3,TRUE,,,,,,,,
suffix_inttide_ac,天资,稀有,饰品,4,智力,10,15,false,闪避,-4,-3,false,,,,,,,,
suffix_chaos_ac,混沌,稀有,饰品,5,物理伤害,8,11,true,火焰伤害,8,11,true,冰霜伤害,8,11,true,闪电伤害,8,11,true
suffix_renewal_ac,新生,稀有,饰品,5,生命值恢复,1,1.5,false,,,,,,,,,,,,
suffix_overlord_ac,大君,史诗,饰品,5,物理伤害,11,15,true,火焰伤害,11,15,true,冰霜伤害,11,15,true,闪电伤害,11,15,true
suffix_providence_ac,神佑,史诗,饰品,5,火焰抗性,5,8,false,冰霜抗性,5,8,false,闪电抗性,5,8,false,,,,
suffix_gamble_ac,赌徒,传说,饰品,4,暴击率,5,7,false,最大生命值,-12,-6,true,,,,,,,,
suffix_oracle_ac,神谕,传说,饰品,5,暴击伤害,30,40,false,元素之心,1,2,false,,,,,,,,
suffix_hexed_ac,天咒,传说,饰品,4,火焰伤害,12,18,true,冰霜伤害,12,18,true,闪电伤害,12,18,true,最大生命值,-20,-10,true
suffix_evilgod_ac,邪神,传说,饰品,4,暴击率,7,10,FALSE,攻击速度,-10,-6,TRUE,,,,,,,,
